,Activity,Case ID,Complete Timestamp,label
133,Turning & Milling - Machine 9,Case246,2012-02-01 16:00:00,deviant
134,Turning & Milling - Machine 9,Case246,2012-02-01 23:40:00,deviant
135,Turning & Milling - Machine 9,Case246,2012-03-01 15:29:00,deviant
136,deviant,Case246,2012-03-01 15:29:01,deviant
137,Milling - Machine 16,Case277,2012-02-01 16:00:00,deviant
138,Turning & Milling Q.C.,Case277,2012-03-01 01:15:00,deviant
139,Lapping - Machine 1,Case277,2012-05-01 16:54:00,deviant
140,Round Grinding - Manual,Case277,2012-05-01 18:30:00,deviant
141,Round Grinding - Manual,Case277,2012-05-01 23:45:00,deviant
142,Round Grinding - Manual,Case277,2012-08-01 08:30:00,deviant
143,Lapping - Machine 1,Case277,2012-08-01 08:40:00,deviant
144,Round Grinding - Manual,Case277,2012-08-01 10:00:00,deviant
145,Round Grinding - Manual,Case277,2012-08-01 17:43:00,deviant
146,Packing,Case277,2012-09-01 01:00:00,deviant
147,Round Grinding - Manual,Case277,2012-09-01 09:06:00,deviant
148,Round Grinding - Manual,Case277,2012-09-01 10:51:00,deviant
149,Round Grinding - Manual,Case277,2012-09-01 12:34:00,deviant
150,deviant,Case277,2012-09-01 12:34:01,deviant
151,Turning & Milling - Machine 8,Case274,2012-02-01 16:43:00,regular
152,Turning & Milling Q.C.,Case274,2012-03-01 08:40:00,regular
153,Turning & Milling - Machine 8,Case274,2012-03-01 10:12:00,regular
154,Turning & Milling - Machine 8,Case274,2012-03-01 11:51:00,regular
155,Turning & Milling Q.C.,Case274,2012-03-01 12:14:00,regular
156,Flat Grinding - Machine 11,Case274,2012-03-01 12:30:00,regular
157,Lapping - Machine 1,Case274,2012-03-01 13:30:00,regular
158,Round Grinding - Manual,Case274,2012-03-01 16:00:00,regular
159,Round Grinding - Q.C.,Case274,2012-04-01 11:02:00,regular
160,Laser Marking - Machine 7,Case274,2012-04-01 12:20:00,regular
161,Final Inspection Q.C.,Case274,2012-04-01 12:49:00,regular
162,Final Inspection Q.C.,Case274,2012-04-01 13:30:00,regular
163,Packing,Case274,2012-05-01 01:00:00,regular
164,regular,Case274,2012-05-01 01:00:01,regular
165,Turning - Machine 8,Case255,2012-02-01 18:00:00,regular
166,Turning Q.C.,Case255,2012-05-01 15:13:00,regular
167,Laser Marking - Machine 7,Case255,2012-10-01 10:07:00,regular
168,Final Inspection Q.C.,Case255,2012-11-01 11:22:00,regular
169,Packing,Case255,2012-01-16 01:00:00,regular
170,regular,Case255,2012-01-16 01:00:01,regular
171,Round Grinding - Manual,Case153,2012-02-01 19:50:00,regular
172,Round Grinding - Manual,Case153,2012-02-01 20:45:00,regular
173,Final Inspection Q.C.,Case153,2012-04-01 17:47:00,regular
174,Final Inspection Q.C.,Case153,2012-05-01 08:40:00,regular
175,Packing,Case153,2012-06-01 01:00:00,regular
176,regular,Case153,2012-06-01 01:00:01,regular
177,Turning & Milling - Machine 5,Case271,2012-02-01 20:53:00,deviant
178,Turning & Milling - Machine 5,Case271,2012-02-01 23:00:00,deviant
179,Turning & Milling - Machine 5,Case271,2012-03-01 07:00:00,deviant
180,Turning & Milling - Machine 5,Case271,2012-03-01 08:43:00,deviant
181,Turning & Milling Q.C.,Case271,2012-03-01 15:36:00,deviant
182,deviant,Case271,2012-03-01 15:36:01,deviant
183,Round Grinding - Manual,Case236,2012-02-01 21:30:00,regular
184,Round Grinding - Manual,Case236,2012-02-01 23:45:00,regular
185,Turning & Milling Q.C.,Case236,2012-03-01 07:44:00,regular
186,Round Grinding - Manual,Case236,2012-03-01 11:50:00,regular
187,Round Grinding - Manual,Case236,2012-03-01 23:40:00,regular
188,Round Grinding - Manual,Case236,2012-04-01 16:58:00,regular
189,Final Inspection Q.C.,Case236,2012-05-01 15:29:00,regular
190,Packing,Case236,2012-06-01 01:00:00,regular
191,regular,Case236,2012-06-01 01:00:01,regular
192,Turning & Milling - Machine 10,Case185,2012-03-01 01:15:00,regular
193,Grinding Rework - Machine 27,Case185,2012-04-01 18:31:00,regular
194,Packing,Case185,2012-05-01 01:00:00,regular
195,Packing,Case185,2012-05-01 01:00:00,regular
196,Final Inspection Q.C.,Case185,2012-05-01 10:13:00,regular
197,Turning & Milling Q.C.,Case185,2012-05-01 14:40:00,regular
198,Turning & Milling Q.C.,Case185,2012-08-01 11:14:00,regular
199,Laser Marking - Machine 7,Case185,2012-08-01 13:37:00,regular
200,Lapping - Machine 1,Case185,2012-01-26 10:00:00,regular
201,Final Inspection Q.C.,Case185,2012-01-30 12:18:00,regular
202,Final Inspection Q.C.,Case185,2012-03-25 11:10:00,regular
203,Lapping - Machine 1,Case185,2012-03-25 15:19:00,regular
204,Round Grinding - Machine 2,Case185,2012-03-26 07:02:00,regular
205,Round Grinding - Machine 2,Case185,2012-03-26 09:33:00,regular
206,Round Grinding - Machine 2,Case185,2012-03-26 11:29:00,regular
207,Round Grinding - Machine 2,Case185,2012-03-26 14:16:00,regular
208,Round Grinding - Machine 2,Case185,2012-03-26 16:14:00,regular
209,Final Inspection Q.C.,Case185,2012-03-28 18:02:00,regular
210,Final Inspection Q.C.,Case185,2012-03-29 15:50:00,regular
211,Packing,Case185,2012-03-30 01:00:00,regular
212,Final Inspection Q.C.,Case185,2012-03-30 08:40:00,regular
213,regular,Case185,2012-03-30 08:40:01,regular
214,Lapping - Machine 1,Case199,2012-03-01 01:15:00,deviant
215,Lapping - Machine 1,Case199,2012-03-01 12:50:00,deviant
216,Lapping - Machine 1,Case199,2012-03-01 15:35:00,deviant
217,Lapping - Machine 1,Case199,2012-03-01 15:56:00,deviant
218,Lapping - Machine 1,Case199,2012-03-01 16:00:00,deviant
219,Round Grinding - Machine 2,Case199,2012-03-01 16:05:00,deviant
220,Round Grinding - Machine 2,Case199,2012-03-01 18:58:00,deviant
221,Round Grinding - Machine 2,Case199,2012-03-01 22:17:00,deviant
222,Lapping - Machine 1,Case199,2012-04-01 01:15:00,deviant
223,deviant,Case199,2012-04-01 01:15:01,deviant
224,Turning & Milling Q.C.,Case237,2012-03-01 01:15:00,deviant
225,Turning & Milling - Machine 4,Case237,2012-03-01 13:00:00,deviant
226,Turning & Milling Q.C.,Case237,2012-04-01 01:15:00,deviant
227,deviant,Case237,2012-04-01 01:15:01,deviant
228,Turning & Milling - Machine 6,Case210,2012-03-01 16:00:00,regular
229,Turning & Milling - Machine 6,Case210,2012-03-01 21:05:00,regular
230,Turning & Milling - Machine 6,Case210,2012-04-01 06:33:00,regular
231,Turning & Milling - Machine 6,Case210,2012-04-01 15:30:00,regular
232,Turning & Milling - Machine 6,Case210,2012-05-01 06:27:00,regular
233,Turning & Milling Q.C.,Case210,2012-05-01 07:35:00,regular
234,Turning & Milling - Machine 6,Case210,2012-05-01 17:00:00,regular
235,Turning & Milling - Machine 6,Case210,2012-06-01 00:00:00,regular
236,Turning & Milling Q.C.,Case210,2012-06-01 08:27:00,regular
237,Turning & Milling Q.C.,Case210,2012-06-01 10:09:00,regular
238,Laser Marking - Machine 7,Case210,2012-06-01 12:49:00,regular
239,Laser Marking - Machine 7,Case210,2012-08-01 07:50:00,regular
240,other,Case210,2012-08-01 17:08:00,regular
241,Lapping - Machine 1,Case210,2012-08-01 17:38:00,regular
242,Lapping - Machine 1,Case210,2012-08-01 17:51:00,regular
243,Lapping - Machine 1,Case210,2012-09-01 01:15:00,regular
244,Lapping - Machine 1,Case210,2012-09-01 09:43:00,regular
245,Lapping - Machine 1,Case210,2012-09-01 09:45:00,regular
246,Round Grinding - Machine 12,Case210,2012-09-01 12:02:00,regular
247,Round Grinding - Machine 12,Case210,2012-09-01 16:29:00,regular
248,Round Grinding - Machine 12,Case210,2012-09-01 23:41:00,regular
249,Final Inspection Q.C.,Case210,2012-10-01 13:36:00,regular
250,Round Grinding - Manual,Case210,2012-10-01 23:35:00,regular
251,Packing,Case210,2012-11-01 01:00:00,regular
252,Round Grinding - Manual,Case210,2012-11-01 17:45:00,regular
253,Final Inspection Q.C.,Case210,2012-12-01 15:59:00,regular
254,Final Inspection Q.C.,Case210,2012-01-15 09:21:00,regular
255,Packing,Case210,2012-01-16 01:00:00,regular
256,regular,Case210,2012-01-16 01:00:01,regular
257,other,Case233,2012-03-01 16:00:00,deviant
258,other,Case233,2012-03-01 20:24:00,deviant
259,other,Case233,2012-03-01 23:41:00,deviant
260,other,Case233,2012-04-01 04:34:00,deviant
261,deviant,Case233,2012-04-01 04:34:01,deviant
262,Milling - Machine 16,Case250,2012-03-01 16:00:00,regular
263,Milling - Machine 16,Case250,2012-04-01 18:00:00,regular
264,Final Inspection Q.C.,Case250,2012-05-01 12:50:00,regular
265,Milling - Machine 16,Case250,2012-05-01 16:00:00,regular
266,Milling - Machine 16,Case250,2012-06-01 13:00:00,regular
267,Milling - Machine 16,Case250,2012-08-01 17:59:00,regular
268,Laser Marking - Machine 7,Case250,2012-09-01 15:47:00,regular
269,Final Inspection Q.C.,Case250,2012-10-01 08:40:00,regular
270,Final Inspection Q.C.,Case250,2012-10-01 08:40:00,regular
271,Final Inspection Q.C.,Case250,2012-10-01 08:40:00,regular
272,Final Inspection Q.C.,Case250,2012-10-01 12:50:00,regular
273,Final Inspection Q.C.,Case250,2012-10-01 14:50:00,regular
274,Final Inspection Q.C.,Case250,2012-10-01 18:00:00,regular
275,Packing,Case250,2012-12-01 01:00:00,regular
276,regular,Case250,2012-12-01 01:00:01,regular
277,Lapping - Machine 1,Case219,2012-03-01 17:04:00,deviant
278,Lapping - Machine 1,Case219,2012-05-01 17:35:00,deviant
279,Round Grinding - Machine 2,Case219,2012-08-01 19:03:00,deviant
280,Round Grinding - Machine 2,Case219,2012-09-01 16:03:00,deviant
281,Round Grinding - Machine 2,Case219,2012-09-01 18:27:00,deviant
282,Round Grinding - Machine 2,Case219,2012-09-01 23:44:00,deviant
283,Round Grinding - Machine 2,Case219,2012-10-01 05:19:00,deviant
284,deviant,Case219,2012-10-01 05:19:01,deviant
285,Packing,Case222,2012-04-01 01:00:00,regular
286,regular,Case222,2012-04-01 01:00:01,regular
287,Round Grinding - Q.C.,Case201,2012-04-01 01:15:00,deviant
288,Turning & Milling Q.C.,Case201,2012-04-01 01:15:00,deviant
289,Turning - Machine 8,Case201,2012-05-01 10:11:00,deviant
290,Turning - Machine 8,Case201,2012-05-01 13:52:00,deviant
291,Turning - Machine 8,Case201,2012-05-01 17:37:00,deviant
292,Turning - Machine 8,Case201,2012-05-01 17:42:00,deviant
293,Turning - Machine 8,Case201,2012-06-01 08:00:00,deviant
294,Turning - Machine 8,Case201,2012-06-01 12:40:00,deviant
295,Turning - Machine 8,Case201,2012-06-01 13:08:00,deviant
296,Turning - Machine 8,Case201,2012-08-01 07:54:00,deviant
297,Turning Q.C.,Case201,2012-08-01 11:13:00,deviant
298,Turning & Milling Q.C.,Case201,2012-08-01 15:30:00,deviant
299,Turning & Milling - Machine 8,Case201,2012-01-16 16:09:00,deviant
300,Turning & Milling - Machine 8,Case201,2012-01-17 09:28:00,deviant
301,Turning & Milling - Machine 8,Case201,2012-01-17 12:55:00,deviant
302,Turning & Milling Q.C.,Case201,2012-01-18 16:02:00,deviant
303,Milling - Machine 16,Case201,2012-01-18 18:00:00,deviant
304,Packing,Case201,2012-01-19 01:00:00,deviant
305,Milling - Machine 16,Case201,2012-01-19 15:31:00,deviant
306,Milling - Machine 16,Case201,2012-01-20 11:32:00,deviant
307,Round Grinding - Machine 2,Case201,2012-01-22 01:15:00,deviant
308,Round Grinding - Manual,Case201,2012-01-22 01:15:00,deviant
309,Round Grinding - Q.C.,Case201,2012-01-22 01:15:00,deviant
310,deviant,Case201,2012-01-22 01:15:01,deviant
311,Turning & Milling Q.C.,Case266,2012-04-01 08:40:00,deviant
312,Turning & Milling - Machine 5,Case266,2012-04-01 16:09:00,deviant
313,Turning & Milling - Machine 5,Case266,2012-05-01 06:45:00,deviant
314,Turning & Milling - Machine 5,Case266,2012-05-01 14:17:00,deviant
315,Turning & Milling Q.C.,Case266,2012-05-01 16:10:00,deviant
316,Turning & Milling Q.C.,Case266,2012-05-01 17:35:00,deviant
317,Turning & Milling - Machine 5,Case266,2012-05-01 17:37:00,deviant
318,Turning & Milling - Machine 5,Case266,2012-05-01 20:50:00,deviant
319,Turning & Milling - Machine 5,Case266,2012-06-01 06:41:00,deviant
320,Turning & Milling - Machine 5,Case266,2012-06-01 12:39:00,deviant
321,Turning & Milling - Machine 5,Case266,2012-07-01 07:00:00,deviant
322,Turning & Milling - Machine 5,Case266,2012-07-01 23:30:00,deviant
323,Turning & Milling - Machine 5,Case266,2012-08-01 06:35:00,deviant
324,Turning & Milling - Machine 5,Case266,2012-08-01 08:39:00,deviant
325,Turning & Milling Q.C.,Case266,2012-08-01 12:50:00,deviant
326,deviant,Case266,2012-08-01 12:50:01,deviant
327,Lapping - Machine 1,Case177,2012-04-01 10:25:00,deviant
328,Round Grinding - Machine 2,Case177,2012-08-01 15:08:00,deviant
329,Round Grinding - Machine 2,Case177,2012-08-01 15:57:00,deviant
330,Round Grinding - Machine 2,Case177,2012-08-01 22:13:00,deviant
331,Final Inspection Q.C.,Case177,2012-01-17 08:40:00,deviant
332,Final Inspection Q.C.,Case177,2012-01-17 12:50:00,deviant
333,deviant,Case177,2012-01-17 12:50:01,deviant
334,Turning & Milling - Machine 8,Case228,2012-04-01 10:51:00,deviant
335,Turning & Milling - Machine 8,Case228,2012-09-01 11:30:00,deviant
336,Turning & Milling - Machine 8,Case228,2012-09-01 12:30:00,deviant
337,deviant,Case228,2012-09-01 12:30:01,deviant
338,Turning & Milling - Machine 10,Case208,2012-04-01 15:57:00,deviant
339,Turning & Milling - Machine 10,Case208,2012-04-01 22:34:00,deviant
340,Turning & Milling - Machine 10,Case208,2012-09-01 02:19:00,deviant
341,Turning & Milling - Machine 10,Case208,2012-09-01 06:55:00,deviant
342,Turning & Milling - Machine 10,Case208,2012-09-01 15:39:00,deviant
343,Turning & Milling - Machine 10,Case208,2012-09-01 17:44:00,deviant
344,Turning & Milling - Machine 10,Case208,2012-10-01 06:38:00,deviant
345,Turning & Milling - Machine 10,Case208,2012-10-01 09:30:00,deviant
346,deviant,Case208,2012-10-01 09:30:01,deviant
347,Turning - Machine 8,Case265,2012-04-01 15:59:00,regular
348,Turning - Machine 8,Case265,2012-05-01 08:26:00,regular
349,Turning & Milling - Machine 8,Case265,2012-09-01 10:29:00,regular
350,Turning & Milling - Machine 8,Case265,2012-09-01 10:49:00,regular
351,Turning & Milling - Machine 8,Case265,2012-09-01 11:21:00,regular
352,Turning & Milling Q.C.,Case265,2012-09-01 12:50:00,regular
353,Laser Marking - Machine 7,Case265,2012-01-16 08:28:00,regular
354,Lapping - Machine 1,Case265,2012-01-16 09:37:00,regular
355,Round Grinding - Manual,Case265,2012-01-16 14:54:00,regular
356,Round Grinding - Manual,Case265,2012-01-16 15:53:00,regular
357,Round Grinding - Manual,Case265,2012-01-17 07:18:00,regular
358,Round Grinding - Manual,Case265,2012-01-17 11:10:00,regular
359,Final Inspection Q.C.,Case265,2012-01-17 18:03:00,regular
360,Final Inspection Q.C.,Case265,2012-01-18 16:07:00,regular
361,Packing,Case265,2012-01-19 01:00:00,regular
362,Final Inspection Q.C.,Case265,2012-01-19 12:01:00,regular
363,regular,Case265,2012-01-19 12:01:01,regular
364,Packing,Case227,2012-05-01 01:00:00,regular
365,Final Inspection Q.C.,Case227,2012-05-01 07:56:00,regular
366,regular,Case227,2012-05-01 07:56:01,regular
367,Turning & Milling - Machine 8,Case215,2012-05-01 15:21:00,regular
368,Turning & Milling - Machine 8,Case215,2012-05-01 17:47:00,regular
369,Turning & Milling - Machine 8,Case215,2012-05-01 22:03:00,regular
370,Turning & Milling Q.C.,Case215,2012-06-01 09:46:00,regular
371,Turning & Milling Q.C.,Case215,2012-06-01 11:02:00,regular
372,Laser Marking - Machine 7,Case215,2012-08-01 14:20:00,regular
373,Lapping - Machine 1,Case215,2012-08-01 16:48:00,regular
374,Lapping - Machine 1,Case215,2012-08-01 18:04:00,regular
375,Laser Marking - Machine 7,Case215,2012-08-01 18:04:00,regular
376,Final Inspection Q.C.,Case215,2012-01-15 10:55:00,regular
377,Packing,Case215,2012-01-17 01:00:00,regular
378,Final Inspection Q.C.,Case215,2012-01-17 09:30:00,regular
379,regular,Case215,2012-01-17 09:30:01,regular
380,Grinding Rework - Machine 27,Case225,2012-05-01 15:52:00,deviant
381,Laser Marking - Machine 7,Case225,2012-08-01 01:15:00,deviant
382,other,Case225,2012-08-01 23:34:00,deviant
383,Grinding Rework - Machine 27,Case225,2012-09-01 23:06:00,deviant
384,Laser Marking - Machine 7,Case225,2012-10-01 01:15:00,deviant
385,Lapping - Machine 1,Case225,2012-01-20 01:15:00,deviant
386,Lapping - Machine 1,Case225,2012-01-20 08:41:00,deviant
387,Lapping - Machine 1,Case225,2012-01-20 12:40:00,deviant
388,Round Grinding - Machine 2,Case225,2012-01-21 22:25:00,deviant
389,Lapping - Machine 1,Case225,2012-01-22 01:15:00,deviant
390,Lapping - Machine 1,Case225,2012-01-22 10:21:00,deviant
391,Lapping - Machine 1,Case225,2012-01-22 13:57:00,deviant
392,Round Grinding - Machine 2,Case225,2012-01-22 14:40:00,deviant
393,Round Grinding - Machine 2,Case225,2012-01-22 16:33:00,deviant
394,Lapping - Machine 1,Case225,2012-01-22 18:06:00,deviant
395,Round Grinding - Machine 2,Case225,2012-01-22 18:58:00,deviant
396,Round Grinding - Machine 2,Case225,2012-01-22 23:51:00,deviant
397,Round Grinding - Machine 2,Case225,2012-01-23 06:49:00,deviant
398,Round Grinding - Machine 2,Case225,2012-01-23 16:20:00,deviant
399,Lapping - Machine 1,Case225,2012-01-23 17:38:00,deviant
400,Round Grinding - Machine 2,Case225,2012-01-23 23:33:00,deviant
401,Lapping - Machine 1,Case225,2012-01-26 14:50:00,deviant
402,other,Case225,2012-01-26 15:30:00,deviant
403,Lapping - Machine 1,Case225,2012-01-29 15:06:00,deviant
404,Lapping - Machine 1,Case225,2012-01-29 15:41:00,deviant
405,Round Grinding - Machine 3,Case225,2012-01-30 03:20:00,deviant
406,Final Inspection Q.C.,Case225,2012-01-30 08:40:00,deviant
407,Final Inspection Q.C.,Case225,2012-01-30 12:50:00,deviant
408,Final Inspection Q.C.,Case225,2012-01-30 17:00:00,deviant
409,Round Grinding - Machine 3,Case225,2012-01-31 06:30:00,deviant
410,Final Inspection Q.C.,Case225,2012-01-31 08:40:00,deviant
411,Lapping - Machine 1,Case225,2012-01-31 12:07:00,deviant
412,Final Inspection Q.C.,Case225,2012-01-31 12:50:00,deviant
413,Round Grinding - Machine 3,Case225,2012-01-31 15:56:00,deviant
