
Hyperopt trials:
tid,loss,time,params used
0, 562902.062500, 183.547477, {'batch_size': [3.748224402649474], 'dropout': [0.15728770622710736], 'gamma': [0.608388117675962], 'learning_rate': [0.00797143956932274], 'lstmA_size_1': [29.30480235746415], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [29.58519486860137], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [60.343200921930546], 'shared_lstm_size': [38.92285989639234], 'word2vec_size': [146.0]}
11, 1124747.750000, 1704.900329, {'batch_size': [3.941532868857402], 'dropout': [0.400728964804971], 'gamma': [0.6964461748128694], 'learning_rate': [0.0008907618112084986], 'lstmA_size_1': [24.909510134876715], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [20.14031316233027], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [17.859466684984575], 'shared_lstm_size': [111.75960141199029], 'word2vec_size': [524.0]}
12, 1418366.375000, 580.986347, {'batch_size': [5.177332309558791], 'dropout': [0.11489755204977131], 'gamma': [0.4151554182125916], 'learning_rate': [4.034073040849642e-05], 'lstmA_size_1': [13.055428672667105], 'lstmA_size_2_2': [14.736927030789507], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [53.82424907547322], 'lstmO_size_2_2': [18.19847138092262], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [104.94235260671121], 'shared_lstm_size': [38.5000506759985], 'word2vec_size': [957.0]}
13, 1418248.750000, 2451.895350, {'batch_size': [3.630650678948905], 'dropout': [0.4258199461027149], 'gamma': [0.6579937261256881], 'learning_rate': [2.263975305075449e-05], 'lstmA_size_1': [24.985264419878877], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [74.03388702363473], 'lstmA_size_3_3': [13.210496284520513], 'lstmO_size_1': [113.3338934010383], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [20.95788508356728], 'lstmO_size_3_3': [15.619445111047936], 'n_layers': [2], 'output_dim_embedding': [63.280897771145554], 'shared_lstm_size': [129.06992113592437], 'word2vec_size': [345.0]}
14, 1417589.375000, 1483.735484, {'batch_size': [3.952544867786958], 'dropout': [0.13895306891491205], 'gamma': [0.1143115825246789], 'learning_rate': [3.632928191325258e-05], 'lstmA_size_1': [37.054040148652554], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [148.63308406288016], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [17.788752021931174], 'shared_lstm_size': [33.97599830974942], 'word2vec_size': [800.0]}
15, 1413551.375000, 736.522277, {'batch_size': [4.771608236292174], 'dropout': [0.1033016846046696], 'gamma': [0.5253357736816515], 'learning_rate': [0.00013682763451612748], 'lstmA_size_1': [59.750956304875224], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [49.282655623223725], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [81.00951007180323], 'shared_lstm_size': [21.646300315537854], 'word2vec_size': [627.0]}
16, 1418366.750000, 1089.001625, {'batch_size': [4.211603467397157], 'dropout': [0.36958325575680606], 'gamma': [0.5358949312131095], 'learning_rate': [1.3371018524125364e-05], 'lstmA_size_1': [20.378448197900504], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [115.1463565915003], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [22.988934874026675], 'shared_lstm_size': [90.96179804582205], 'word2vec_size': [395.0]}
17, 1416682.500000, 784.695324, {'batch_size': [3.424403073083607], 'dropout': [0.39555038680302596], 'gamma': [0.6041982923633391], 'learning_rate': [5.1148095715904866e-05], 'lstmA_size_1': [38.461143343273704], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [10.983113798926789], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [16.745059407238173], 'shared_lstm_size': [11.44230908896711], 'word2vec_size': [291.0]}
18, 1417572.625000, 1491.085343, {'batch_size': [3.4204681449721006], 'dropout': [0.16834992261884868], 'gamma': [0.7247477209224634], 'learning_rate': [2.9415970900210274e-05], 'lstmA_size_1': [74.5778537586478], 'lstmA_size_2_2': [55.92950772613529], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [27.949298293482542], 'lstmO_size_2_2': [13.753353728768738], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [15.959619359156902], 'shared_lstm_size': [20.41446414140542], 'word2vec_size': [192.0]}
19, 1390156.000000, 1650.417237, {'batch_size': [3.888385393937756], 'dropout': [0.36558493148512494], 'gamma': [0.13389049260339264], 'learning_rate': [0.00027410969334807283], 'lstmA_size_1': [33.17866485142702], 'lstmA_size_2_2': [24.315967862071155], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [44.049636212457926], 'lstmO_size_2_2': [13.257709130900732], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [52.27284777960734], 'shared_lstm_size': [66.42783246406125], 'word2vec_size': [274.0]}
Total time: 5:11:12.898820

Best parameters:{'batch_size': 3, 'dropout': 0.37198967901640295, 'gamma': 0.11707334819984849, 'learning_rate': 0.002780192059196605, 'lstmA_size_1': 44, 'lstmO_size_1': 43, 'n_layers': {'lstmA_size_2_2': 118, 'lstmO_size_2_2': 22, 'n_layers': 2}, 'output_dim_embedding': 26, 'shared_lstm_size': 51, 'word2vec_size': 878}
