
Hyperopt trials:
tid,loss,time,params used
0, 0.286889, 76.893423, {'batch_size': [4.1245178539813985], 'dropout': [0.0881091874171574], 'learning_rate': [6.807096163357085e-05], 'lstmO_size_1': [137.65746619374417], 'lstmO_size_2_2': [83.14973331406006], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [34.75816600651285], 'shared_lstm_size': [19.781745612893815], 'word2vec_size': [629.0]}
11, 0.262948, 91.220541, {'batch_size': [3.1216985576206433], 'dropout': [0.27425389541955614], 'learning_rate': [9.397280038958217e-05], 'lstmO_size_1': [26.620509735664697], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [34.35885714960228], 'shared_lstm_size': [35.14542376333512], 'word2vec_size': [56.0]}
12, 0.287344, 131.427111, {'batch_size': [5.444483041981417], 'dropout': [0.15475165578109412], 'learning_rate': [6.592950311109388e-05], 'lstmO_size_1': [13.001876101388248], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [58.344728809727386], 'lstmO_size_3_3': [125.49606063705603], 'n_layers': [2], 'output_dim_embedding': [109.25752427185597], 'shared_lstm_size': [134.78243016253924], 'word2vec_size': [673.0]}
13, 0.259988, 280.878326, {'batch_size': [3.2094612953487758], 'dropout': [0.021047228844903454], 'learning_rate': [7.677285599720701e-05], 'lstmO_size_1': [19.62666227928346], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [17.902879083032527], 'lstmO_size_3_3': [129.62389404855668], 'n_layers': [2], 'output_dim_embedding': [29.615851880673052], 'shared_lstm_size': [22.793525828887315], 'word2vec_size': [467.0]}
14, 0.253702, 273.224809, {'batch_size': [4.516808813850948], 'dropout': [0.289081743326794], 'learning_rate': [0.0001408416140086906], 'lstmO_size_1': [70.36322694004748], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [76.4206377820596], 'lstmO_size_3_3': [105.38787572612581], 'n_layers': [2], 'output_dim_embedding': [31.5546636166261], 'shared_lstm_size': [13.078522858029986], 'word2vec_size': [910.0]}
15, 0.256238, 135.504857, {'batch_size': [3.243907692719765], 'dropout': [0.4654600886987428], 'learning_rate': [0.00023398055826213406], 'lstmO_size_1': [69.08056995502764], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [19.090381999453026], 'shared_lstm_size': [73.23657536331476], 'word2vec_size': [197.0]}
16, 0.267259, 194.596895, {'batch_size': [3.608384201893377], 'dropout': [0.47194879661017186], 'learning_rate': [0.00012948238841183787], 'lstmO_size_1': [13.845613384597895], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [15.302554305065563], 'lstmO_size_3_3': [95.56358326729371], 'n_layers': [2], 'output_dim_embedding': [12.273753528614732], 'shared_lstm_size': [10.673470057204582], 'word2vec_size': [802.0]}
17, 0.209076, 138.569776, {'batch_size': [5.425589993243212], 'dropout': [0.1562428676751822], 'learning_rate': [0.008237218648152252], 'lstmO_size_1': [71.14623252178049], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [19.143812685760587], 'lstmO_size_3_3': [46.800648727914485], 'n_layers': [2], 'output_dim_embedding': [36.163353329922096], 'shared_lstm_size': [149.37040431291183], 'word2vec_size': [664.0]}
18, 0.241289, 88.131546, {'batch_size': [4.6712758619415], 'dropout': [0.17486654038043825], 'learning_rate': [0.0005956759363491397], 'lstmO_size_1': [30.137928393078038], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [99.0933907072422], 'shared_lstm_size': [89.52250443284233], 'word2vec_size': [891.0]}
19, 0.248763, 94.002160, {'batch_size': [3.7109311483524166], 'dropout': [0.34646270071906204], 'learning_rate': [0.00719848236774384], 'lstmO_size_1': [33.5432983432758], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [20.83635979475489], 'shared_lstm_size': [12.690599725140132], 'word2vec_size': [532.0]}
Total time: 0:44:51.293954

Best parameters:{'batch_size': 5, 'dropout': 0.1562428676751822, 'learning_rate': 0.008237218648152252, 'lstmO_size_1': 71, 'n_layers': {'lstmO_size_2_3': 19, 'lstmO_size_3_3': 46, 'n_layers': 3}, 'output_dim_embedding': 36, 'shared_lstm_size': 149, 'win_size': 4, 'word2vec_size': 664}
