
Hyperopt trials:
tid,loss,time,params used
0, 0.248605, 50.076231, {'batch_size': [4.211890353686086], 'dropout': [0.3598143709961454], 'gamma': [0.16032322970971677], 'learning_rate': [0.0006050675863212535], 'lstmA_size_1': [110.12322133528896], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [120.71085839301125], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [14.84831520046559], 'shared_lstm_size': [14.460404231554682], 'word2vec_size': [317.0]}
11, 0.260511, 92.075293, {'batch_size': [4.868476245807578], 'dropout': [0.08228682312747254], 'gamma': [0.4114944989320096], 'learning_rate': [0.002028586523369649], 'lstmA_size_1': [16.86518996075369], 'lstmA_size_2_2': [12.146743710832554], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [81.88792190010561], 'lstmO_size_2_2': [57.411588393490085], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [60.25484400409728], 'shared_lstm_size': [34.31342221736897], 'word2vec_size': [939.0]}
12, 0.281625, 190.922544, {'batch_size': [5.05390029687391], 'dropout': [0.07186315011176236], 'gamma': [0.20474589950519864], 'learning_rate': [3.4169862788710015e-05], 'lstmA_size_1': [95.4703778489653], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [10.90712597731363], 'lstmA_size_3_3': [114.15119683781504], 'lstmO_size_1': [86.58893778110331], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [16.581546201248663], 'lstmO_size_3_3': [40.82288973990889], 'n_layers': [2], 'output_dim_embedding': [50.920554905348396], 'shared_lstm_size': [102.53626422885418], 'word2vec_size': [508.0]}
13, 0.268309, 115.556073, {'batch_size': [4.219168147889741], 'dropout': [0.09798817620112993], 'gamma': [0.6736018707711899], 'learning_rate': [0.00016785611608832442], 'lstmA_size_1': [16.696189232354754], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [11.918568121838101], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [30.794435423591924], 'shared_lstm_size': [94.11087390379721], 'word2vec_size': [841.0]}
14, 0.235628, 119.857266, {'batch_size': [3.423970216932643], 'dropout': [0.4807047172784622], 'gamma': [0.3351445179638102], 'learning_rate': [0.004838663565452568], 'lstmA_size_1': [12.84388803526362], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [14.984410021415545], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [48.62490733136909], 'shared_lstm_size': [62.702122629930074], 'word2vec_size': [524.0]}
15, 0.240505, 58.463381, {'batch_size': [4.081143640966454], 'dropout': [0.010886759075130092], 'gamma': [0.6002184184449402], 'learning_rate': [0.0009975632023007306], 'lstmA_size_1': [21.762492282722068], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [103.96703894757401], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [69.0918472566952], 'shared_lstm_size': [11.303137376516746], 'word2vec_size': [374.0]}
16, 0.246900, 135.297248, {'batch_size': [4.900815750563993], 'dropout': [0.0655952324733799], 'gamma': [0.8178394383102414], 'learning_rate': [0.001228348787087287], 'lstmA_size_1': [13.123847237131416], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [13.41329136442593], 'lstmA_size_3_3': [35.40599335231678], 'lstmO_size_1': [14.721248723253664], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [131.21461037625522], 'lstmO_size_3_3': [57.763221608575954], 'n_layers': [2], 'output_dim_embedding': [30.903545119922615], 'shared_lstm_size': [71.89860358589046], 'word2vec_size': [503.0]}
17, 0.245675, 155.232698, {'batch_size': [3.693749232270056], 'dropout': [0.38868250521994574], 'gamma': [0.18979779875852154], 'learning_rate': [0.0012379142924727215], 'lstmA_size_1': [51.007923675338446], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [118.72510319906596], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [12.848000075183704], 'shared_lstm_size': [88.08532502208847], 'word2vec_size': [392.0]}
18, 0.327314, 827.185624, {'batch_size': [5.821342947029529], 'dropout': [0.45535965255817434], 'gamma': [0.8040757843521316], 'learning_rate': [1.0554272419823645e-05], 'lstmA_size_1': [27.735771019210908], 'lstmA_size_2_2': [17.516451484542497], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [64.19662327408352], 'lstmO_size_2_2': [25.46360211626654], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [25.69590749618514], 'shared_lstm_size': [136.2708449058331], 'word2vec_size': [744.0]}
19, 0.258123, 167.422941, {'batch_size': [3.922059483932898], 'dropout': [0.4736210783646991], 'gamma': [0.5227590075395704], 'learning_rate': [0.0006391764040080285], 'lstmA_size_1': [35.54633407842441], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [35.604616573613555], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [39.84140759977366], 'shared_lstm_size': [64.37549346554485], 'word2vec_size': [843.0]}
Total time: 0:49:41.365041

Best parameters:{'batch_size': 4, 'dropout': 0.14936644249941067, 'gamma': 0.42863507943416523, 'learning_rate': 0.009836130922174674, 'lstmA_size_1': 17, 'lstmO_size_1': 38, 'n_layers': {'lstmA_size_2_2': 51, 'lstmO_size_2_2': 11, 'n_layers': 2}, 'output_dim_embedding': 48, 'shared_lstm_size': 18, 'word2vec_size': 470}
